time1,Instantaneous value of horizontal radiation,time2,Instantaneous value of inclined radiation,time3,Instantaneous value of scattered radiation,time4,Direct radiation instantaneous value,time5,WindSpeed,time6,WindDirection,time7,Temperature,time8,Pressure,time9,Humidity,time10,ComponentTemp,time11,P1
2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0,2024/1/2 6:20,0
2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0,2024/1/2 6:30,0
2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0,2024/1/2 6:40,0
2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0,2024/1/2 6:50,0
2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0,2024/1/2 7:00,0
2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0,2024/1/2 7:10,0
2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0,2024/1/2 7:20,0
2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0,2024/1/2 7:30,0
2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0,2024/1/2 7:40,0
2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0,2024/1/2 7:50,0
2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0,2024/1/2 8:00,0
2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0,2024/1/2 8:10,0
2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0,2024/1/2 8:20,0
2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0,2024/1/2 8:30,0
2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0,2024/1/2 8:40,0
